"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17555","TC-01 | Admin Leave List loads with filter form and results table","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Requests","","",""
"","4058","TC-14 | Unauthenticated direct URL access to Dashboard redirects to Login","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Session Management","","",""
"","18766","TC-08 | Leave Entitlement page loads and is accessible to Admin","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Administration","","",""
"","16524","TC-06 | My Leave List page loads with Search form","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Lists","","",""
"","15913","TC-13 | Leave Holidays page loads with Add button","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Administration","","",""
"","12019","TC-06 | Candidates page loads with Search form and Add button","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Candidates","","",""
"","7235","TC-14 | PIM module is accessible from the navigation sidebar","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Employee List","","",""
"","22294","TC-10 | Leave module is accessible from the navigation sidebar","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Administration","","",""
"","7498","TC-12 | Logout clears session and redirects to Login page","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Session Management","","",""
"","12917","TC-13 | Add Candidate form has a Resume file upload field","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Candidates","","",""
"","11787","TC-08 | Add Candidate - submitting empty form shows Required validation errors","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Candidates","","",""
"","4174","TC-09 | ""Forgot your password?"" link navigates to Reset Password page","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Forgot Password","","",""
"","7408","TC-13 | After logout, navigating to a protected URL redirects back to Login","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Session Management","","",""
"","14559","TC-02 | Add Vacancy form shows Job Title, Vacancy Name, Hiring Manager and Description fields","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Vacancies","","",""
"","6057","TC-01 | Employee List page loads with Search and Add buttons","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Employee List","","",""
"","16688","TC-09 | Leave Entitlement page has Employee Name filter and Search button","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Administration","","",""
"","3936","TC-05 | Empty username field shows Required validation error","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Login","","",""
"","17100","TC-02 | Leave List filter - From Date input is visible and editable","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Requests","","",""
"","6934","TC-04 | Valid username + invalid password shows Invalid credentials error","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Login","","",""
"","13105","TC-10 | Default Search returns employees and shows a records count label","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Search Employee","","",""
"","9297","TC-11 | Default search returns at least one existing employee record","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Employee List","","",""
"","11929","TC-15 | Leave Work Week configuration page loads successfully","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Administration","","",""
"","6330","TC-07 | Add Employee form shows First Name, Middle Name and Last Name fields","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Add Employee","","",""
"","6135","TC-06 | Empty password field shows Required validation error","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Login","","",""
"","11088","TC-12 | My Leave list table displays Leave Date, Leave Type and Status column headers","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Lists","","",""
"","4914","TC-01 | Valid credentials redirect to Dashboard","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Login","","",""
"","5044","TC-08 | XSS payload in username is not executed as script","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Security","","",""
"","13652","TC-05 | Leave List table displays Leave Date, Leave Type and Status columns","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Requests","","",""
"","15462","TC-09 | Candidates table displays Candidate, Vacancy, Hiring Manager and Status columns","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Candidates","","",""
"","5531","TC-08 | Searching with a non-existent Employee ID returns zero table rows","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Search Employee","","",""
"","3898","TC-10 | Forgot Password - empty username submission shows Required validation error","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Forgot Password","","",""
"","5874","TC-11 | Forgot Password - Cancel button returns to Login page","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Forgot Password","","",""
"","11129","TC-07 | Add Candidate form renders First Name, Last Name and Email fields","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Candidates","","",""
"","15070","TC-15 | Candidate search - Status filter dropdown has selectable options","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Candidates","","",""
"","5054","TC-07 | SQL injection string in username does not authenticate","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Security","","",""
"","12453","TC-11 | Add Vacancy - Hiring Manager autocomplete input is visible and interactive","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Vacancies","","",""
"","16628","TC-11 | Leave List filter - Employee Name autocomplete field is present","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Requests","","",""
"","6085","TC-15 | Add Employee form shows Create Login Details toggle","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Add Employee","","",""
"","20623","TC-10 | Recruitment module is accessible from the navigation sidebar","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Candidates","","",""
"","20954","TC-04 | Add Vacancy - submitting empty form shows Required validation errors","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Vacancies","","",""
"","9031","TC-02 | Employee list table displays First Name, Last Name, Job Title and Employment Status columns","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Employee List","","",""
"","7410","TC-05 | Add Employee - empty First Name shows Required validation error","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Add Employee","","",""
"","6719","TC-12 | Each employee table row shows Edit and Delete action buttons","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Employee List","","",""
"","19589","TC-03 | Add Vacancy - Save button is visible on the form","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Vacancies","","",""
"","10815","TC-14 | Leave Calendar page loads successfully","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Administration","","",""
"","6183","TC-03 | Invalid username + valid password shows Invalid credentials error","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Login","","",""
"","10819","TC-07 | Admin Leave List page loads with Search form","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Lists","","",""
"","17501","TC-01 | Add Vacancy page loads with Job Title dropdown and Vacancy Name input","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Vacancies","","",""
"","3580","TC-02 | Login page renders all expected UI elements","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Login","","",""
"","8043","TC-06 | Add Employee - empty Last Name shows Required validation error","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Add Employee","","",""
"","17909","TC-03 | Add Employee with valid First and Last Name saves and redirects to Personal Details","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Add Employee","","",""
"","18708","TC-05 | Add Vacancy - Job Title dropdown is populated with available job titles","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Vacancies","","",""
"","12544","TC-15 | storageState bypass grants Dashboard access without re-entering credentials","chromium","2026-05-29","passed","2026-05-29","Module 1: Authentication - Session Management","","",""
"","15118","TC-12 | Add Vacancy - Description textarea is visible and accepts text input","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Vacancies","","",""
"","20595","TC-03 | Leave List filter - Show Leave Status dropdown has selectable options","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Requests","","",""
"","7205","TC-09 | Reset button clears the Employee Id search field","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Search Employee","","",""
"","8605","TC-04 | Employee ID is auto-populated on the Add Employee form","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Add Employee","","",""
"","11857","TC-14 | Add Candidate - Vacancy dropdown has selectable options","chromium","2026-05-29","passed","2026-05-29","Module 4: Recruitment - Candidates","","",""
"","12461","TC-13 | Employment Status filter dropdown has selectable options","chromium","2026-05-29","passed","2026-05-29","Module 2: Employee Management - Search Employee","","",""
"","14544","TC-04 | Leave List filter - Leave Type dropdown has selectable options","chromium","2026-05-29","passed","2026-05-29","Module 3: Leave Management - Leave Requests","","",""
